habito,salud,impuest,sexo,habito_ajustado
NO,5,4,Mujer,3
NO,5,4,Mujer,3
NO,5,4,Hombre,3
NO,5,3,Mujer,3
NO,5,2,Mujer,3
SI,5,5,Mujer,1
SI,5,5,Mujer,1
NO,5,3,Hombre,3
NO,4,4,Mujer,3
SI,5,3,Mujer,1
NO,5,3,Hombre,3
NO,5,2,Hombre,3
NO,5,4,Mujer,3
SI,5,5,Mujer,1
NO,5,5,Mujer,3
SI,5,3,Hombre,1
SI,5,5,Hombre,1
SI,5,4,Hombre,1
NO,5,2,Mujer,3
NO,1,3,Mujer,3
NO,5,3,Mujer,3
NO,5,3,Mujer,3
SI,5,5,Mujer,1
SI,5,1,Hombre,1
SI,5,5,Hombre,1
DEJADO,4,5,Mujer,3
NO,2,5,Mujer,3
NO,4,5,Mujer,3
SI,5,4,Hombre,1
NO,5,5,Mujer,3
NO,5,4,Mujer,3
SI,5,3,Hombre,1
NO,5,3,Mujer,3
NO,4,5,Mujer,3
NO,5,4,Mujer,3
NO,5,4,Mujer,3
NO,5,4,Mujer,3
NO,5,4,Mujer,3
SI,5,4,Hombre,1
NO,5,5,Hombre,3
DEJADO,5,4,Mujer,3
NO,5,4,Mujer,3
DEJADO,3,4,Mujer,3
NO,5,4,Mujer,3
DEJADO,4,2,Mujer,3
NO,5,2,Mujer,3
NO,5,2,Mujer,3
NO,5,3,Hombre,3
NO,5,3,Mujer,3
NO,5,3,Mujer,3
NO,5,2,Hombre,3
NO,5,2,Hombre,3
SI,5,4,Hombre,1
NO,5,4,Hombre,3
SI,5,5,Mujer,1
NO,5,5,Hombre,3
SI,5,5,Hombre,1
SI,5,5,Hombre,1
SI,5,4,Hombre,1
NO,5,2,Mujer,3
NO,1,3,Mujer,3
NO,5,3,Mujer,3
NO,5,3,Mujer,3
DEJADO,5,3,Hombre,3
SI,5,5,Hombre,1
SI,5,4,Hombre,1
SI,5,5,Hombre,1
SI,5,2,Hombre,1
NO,5,4,Mujer,3
SI,4,5,Hombre,1
NO,5,4,Mujer,3
NO,4,4,Mujer,3
SI,2,4,Mujer,1
SI,5,5,Mujer,1
DEJADO,5,4,Mujer,3
NO,5,5,Mujer,3
SI,5,3,Hombre,1
SI,4,4,Hombre,1
NO,5,2,Mujer,3
NO,4,4,Mujer,3
SI,5,5,Mujer,1
NO,5,4,Hombre,3
NO,5,5,Hombre,3
SI,5,2,Hombre,1
SI,5,4,Hombre,1
SI,5,3,Mujer,1
NO,2,3,Mujer,3
NO,5,5,Mujer,3
SI,5,5,Mujer,1
NO,5,5,Hombre,3
SI,5,2,Hombre,1
NO,5,5,Hombre,3
SI,4,3,Hombre,1
DEJADO,5,4,Hombre,3
NO,5,3,Hombre,3
NO,5,5,Mujer,3
SI,5,5,Mujer,1
NO,5,4,Mujer,3
DEJADO,5,3,Mujer,3
SI,1,5,Mujer,1
SI,4,4,Mujer,1
NO,5,1,Hombre,3
DEJADO,5,4,Hombre,3
NO,5,3,Hombre,3
NO,5,3,Mujer,3
NO,5,3,Mujer,3
SI,5,4,Mujer,1
SI,4,5,Mujer,1
NO,5,4,Hombre,3
NO,5,4,Mujer,3
SI,5,4,Mujer,1
SI,4,4,Mujer,1
SI,5,4,Mujer,1
SI,5,5,Mujer,1
SI,2,5,Mujer,1
SI,5,4,Mujer,1
NO,5,4,Mujer,3
SI,5,3,Mujer,1
SI,5,5,Mujer,1
SI,4,4,Hombre,1
NO,5,4,Hombre,3
NO,5,4,Hombre,3
SI,5,4,Mujer,1
SI,4,3,Hombre,1
SI,5,4,Mujer,1
SI,5,4,Mujer,1
SI,5,3,Hombre,1
NO,1,4,Hombre,3
SI,5,5,Hombre,1
NO,5,5,Hombre,3
NO,5,2,Mujer,3
NO,1,3,Hombre,3
SI,4,5,Mujer,1
SI,5,4,Mujer,1
SI,5,5,Mujer,1
SI,5,5,Mujer,1
NO,5,4,Hombre,3
SI,5,3,Mujer,1
NO,5,4,Mujer,3
SI,5,4,Mujer,1
SI,5,5,Mujer,1
SI,4,4,Hombre,1
SI,4,5,Mujer,1
DEJADO,5,3,Mujer,3
NO,5,3,Hombre,3
SI,5,4,Mujer,1
NO,5,4,Mujer,3
SI,5,4,Mujer,1
SI,5,5,Hombre,1
NO,5,3,Hombre,3
SI,3,4,Hombre,1
SI,5,5,Mujer,1
NO,5,3,Hombre,3
SI,5,5,Mujer,1
SI,5,3,Mujer,1
NO,5,2,Mujer,3
SI,2,5,Hombre,1
NO,5,4,Mujer,3
NO,5,4,Mujer,3
SI,4,3,Mujer,1
NO,5,4,Mujer,3
SI,5,3,Mujer,1
SI,5,3,Mujer,1
DEJADO,5,2,Mujer,3
NO,5,2,Hombre,3
SI,5,5,Hombre,1
SI,4,3,Mujer,1
SI,5,3,Mujer,1
SI,4,4,Mujer,1
SI,5,3,Mujer,1
NO,4,3,Mujer,3
SI,5,4,Mujer,1
NO,3,5,Hombre,3
NO,4,4,Mujer,3
SI,5,3,Mujer,1
NO,5,4,Mujer,3
NO,5,3,Mujer,3
SI,2,5,Hombre,1
NO,5,5,Mujer,3
SI,5,4,Mujer,1
NO,5,2,Mujer,3
SI,4,3,Mujer,1
SI,5,2,Hombre,1
SI,5,5,Mujer,1
DEJADO,5,5,Mujer,3
SI,5,5,Mujer,1
NO,5,3,Mujer,3
NO,5,3,Mujer,3
NO,5,4,Mujer,3
DEJADO,5,5,Mujer,3
NO,5,4,Mujer,3
NO,5,5,Hombre,3
SI,5,4,Hombre,1
DEJADO,5,4,Hombre,3
SI,5,5,Hombre,1
NO,5,4,Hombre,3
SI,5,5,Mujer,1
NO,5,4,Mujer,3
SI,5,4,Mujer,1
NO,5,1,Hombre,3
NO,5,1,Hombre,3
NO,5,1,Hombre,3
SI,5,5,Hombre,1
NO,5,5,Hombre,3
SI,5,4,Hombre,1
NO,4,4,Mujer,3
 , , , , 
NO,5,3,Mujer,3
NO,5,4,Hombre,3
SI,5,3,Mujer,1
NO,5,4,Mujer,3
NO,5,5,Hombre,3
NO,5,3,Hombre,3
NO,1,2,Hombre,3
SI,2,4,Hombre,1
NO,5,4,Mujer,3
SI,5,5,Mujer,1
SI,5,5,Mujer,1
SI,4,4,Mujer,1
NO,5,3,Mujer,3
NO,4,4,Mujer,3
NO,5,2,Hombre,3
SI,1,2,Hombre,1
NO,5,3,Hombre,3
SI,5,4,Mujer,1
NO,5,4,Mujer,3
NO,1,2,Mujer,3
NO,5,4,Hombre,3
SI,5,1,Hombre,1
SI,5,3,Mujer,1
SI,5,3,Mujer,1
NO,5,4,Mujer,3
NO,5,3,Hombre,3
SI,4,3,Mujer,1
SI,4,3,Mujer,1
NO,5,3,Mujer,3
NO,5,3,Hombre,3
SI,5,5,Mujer,1
NO,5,3,Hombre,3
NO,5,2,Hombre,3
NO,3,1,Mujer,3
SI,5,4,Mujer,1
