id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,clu2_1,qcl_1,lnx2,lnx4,lnx6,sre_1,split,x15,x16
1,4.1,.6,6.9,4.7,2.4,2.35,5.2,pequeña,32,4.2,valor total,descentralizada,tipo 2,nueva,1,1,-.510825623765991,1.54756250871601,.854415328156068,-1.46396463930078,No seleccionado,Menos de la media,menor uso
2,1.8,3,6.3,6.6,2.5,4,8.4,grande,43,4.3,especificacion,centralizada,tipo 1,nueva,2,2,1.09861228866811,1.88706964903238,1.38629436111989,.841599523665965,No seleccionado,Menos de la media,uso intermedio
3,3.4,5.2,5.7,6,4.3,2.7,8.2,grande,48,5.2,especificacion,centralizada,tipo 2,recompra modificada,2,2,1.64865862558738,1.79175946922806,.993251773010283,-.305820421312416,Seleccionado,Más de la media,uso intermedio
4,2.7,1,7.1,5.9,1.8,2.3,7.8,grande,32,3.9,especificacion,centralizada,tipo 2,nueva,2,2,0,1.77495235091167,.832909122935104,-.555813185493995,No seleccionado,Menos de la media,menor uso
5,6,.9,9.6,7.8,3.4,4.6,4.5,pequeña,58,6.8,valor total,descentralizada,tipo 2,recompra,1,1,-.105360515657826,2.05412373369555,1.52605630349505,-.0616048019519109,No seleccionado,Más de la media,mayoruso
6,1.9,3.3,7.9,4.8,2.6,1.9,9.7,grande,45,4.4,especificacion,centralizada,tipo 2,recompra modificada,2,2,1.19392246847243,1.56861591791385,.641853886172395,.542663993733612,Seleccionado,Menos de la media,uso intermedio
7,4.6,2.4,9.5,6.6,3.5,4.5,7.6,pequeña,46,5.8,valor total,descentralizada,tipo 2,nueva,1,1,.8754687373539,1.88706964903238,1.50407739677627,-2.98028458724214,No seleccionado,Menos de la media,uso intermedio
8,1.3,4.2,6.2,5.1,2.8,2.2,6.9,grande,44,4.3,especificacion,centralizada,tipo 1,recompra modificada,2,2,1.43508452528932,1.62924053973028,.78845736036427,1.19067285088084,No seleccionado,Menos de la media,uso intermedio
9,5.5,1.6,9.4,4.7,3.5,3,7.6,pequeña,63,5.4,valor total,descentralizada,tipo 2,recompra,1,1,.470003629245736,1.54756250871601,1.09861228866811,1.59128006651412,No seleccionado,Más de la media,mayoruso
10,4,3.5,6.5,6,3.7,3.2,8.7,grande,54,5.4,especificacion,centralizada,tipo 1,recompra modificada,2,2,1.25276296849537,1.79175946922806,1.16315080980568,1.36181736861956,No seleccionado,Más de la media,mayoruso
11,2.4,1.6,8.8,4.8,2,2.8,5.8,pequeña,32,4.3,valor total,descentralizada,tipo 1,nueva,2,1,.470003629245736,1.56861591791385,1.02961941718116,-2.39845132649809,No seleccionado,Menos de la media,menor uso
12,3.9,2.2,9.1,4.6,3,2.5,8.3,pequeña,47,5,valor total,descentralizada,tipo 2,recompra modificada,1,1,.78845736036427,1.52605630349505,.916290731874155,-.82213903226624,No seleccionado,Más de la media,uso intermedio
13,2.8,1.4,8.1,3.8,2.1,1.4,6.6,grande,39,4.4,especificacion,centralizada,tipo 1,nueva,1,1,.336472236621213,1.33500106673234,.336472236621213,.0458319040825223,Seleccionado,Menos de la media,menor uso
14,3.7,1.5,8.6,5.7,2.7,3.7,6.7,pequeña,38,5,valor total,descentralizada,tipo 2,nueva,1,1,.405465108108164,1.7404661748405,1.30833281965018,-2.38353427119441,No seleccionado,Menos de la media,menor uso
15,4.7,1.3,9.9,6.7,3,2.6,6.8,pequeña,54,5.9,valor total,descentralizada,tipo 1,recompra,1,1,.262364264467491,1.90210752639692,.955511445027436,.133781489076901,Seleccionado,Más de la media,mayoruso
16,3.4,2,9.7,4.7,2.7,1.7,4.8,pequeña,49,4.7,valor total,descentralizada,tipo 1,recompra,1,1,.693147180559945,1.54756250871601,.53062825106217,-.0462368516521209,Seleccionado,Más de la media,uso intermedio
17,3.2,4.1,5.7,5.1,3.6,2.9,6.2,pequeña,38,4.4,valor total,centralizada,tipo 2,recompra modificada,2,2,1.41098697371026,1.62924053973028,1.06471073699243,-1.45242519559702,Seleccionado,Menos de la media,menor uso
18,4.9,1.8,7.7,4.3,3.4,1.5,5.9,pequeña,40,5.6,valor total,descentralizada,tipo 1,recompra modificada,1,1,.587786664902119,1.45861502269952,.405465108108164,-1.74673733342074,No seleccionado,Menos de la media,menor uso
19,5.3,1.4,9.7,6.1,3.3,3.9,6.8,pequeña,54,5.9,valor total,descentralizada,tipo 2,recompra,1,1,.336472236621213,1.80828877117927,1.3609765531356,-.667713283910156,Seleccionado,Más de la media,mayoruso
20,4.7,1.3,9.9,6.7,3,2.6,6.8,pequeña,55,6,valor total,descentralizada,tipo 1,recompra,1,1,.262364264467491,1.90210752639692,.955511445027436,.364952376304511,No seleccionado,Más de la media,mayoruso
21,3.3,.9,8.6,4,2.1,1.8,6.3,pequeña,41,4.5,valor total,descentralizada,tipo 1,recompra modificada,1,1,-.105360515657826,1.38629436111989,.587786664902119,-.0118151491020957,No seleccionado,Menos de la media,menor uso
22,3.4,.4,8.3,2.5,1.2,1.7,5.2,pequeña,35,3.3,valor total,descentralizada,tipo 1,nueva,1,1,-.916290731874155,.916290731874155,.53062825106217,.463057878842788,Seleccionado,Menos de la media,menor uso
23,3,4,9.1,7.1,3.5,3.4,8.4,pequeña,55,5.2,valor total,centralizada,tipo 1,recompra,2,2,1.38629436111989,1.96009478404727,1.22377543162212,-.15066235177213,No seleccionado,Más de la media,mayoruso
24,2.4,1.5,6.7,4.8,1.9,2.5,7.2,grande,36,3.7,especificacion,centralizada,tipo 1,nueva,2,2,.405465108108164,1.56861591791385,.916290731874155,.441910332804191,No seleccionado,Menos de la media,menor uso
25,5.1,1.4,8.7,4.8,3.3,2.6,3.8,pequeña,49,4.9,valor total,descentralizada,tipo 1,recompra modificada,1,1,.336472236621213,1.56861591791385,.955511445027436,-.609451110233302,Seleccionado,Más de la media,uso intermedio
26,4.6,2.1,7.9,5.8,3.4,2.8,4.7,pequeña,49,5.9,valor total,descentralizada,tipo 2,recompra,1,1,.741937344729377,1.75785791755237,1.02961941718116,-.228785180646617,Seleccionado,Más de la media,uso intermedio
27,2.4,1.5,6.6,4.8,1.9,2.5,7.2,grande,36,3.7,especificacion,centralizada,tipo 1,nueva,2,2,.405465108108164,1.56861591791385,.916290731874155,.520412224256039,No seleccionado,Menos de la media,menor uso
28,5.2,1.3,9.7,6.1,3.2,3.9,6.7,pequeña,54,5.8,valor total,descentralizada,tipo 2,recompra,1,1,.262364264467491,1.80828877117927,1.3609765531356,-.489344408912035,No seleccionado,Más de la media,mayoruso
29,3.5,2.8,9.9,3.5,3.1,1.7,5.4,pequeña,49,5.4,valor total,descentralizada,tipo 2,recompra,1,1,1.02961941718116,1.25276296849537,.53062825106217,-.914916940813495,No seleccionado,Más de la media,uso intermedio
30,4.1,3.7,5.9,5.5,3.9,3,8.4,grande,46,5.1,especificacion,centralizada,tipo 1,recompra modificada,2,2,1.30833281965018,1.70474809223843,1.09861228866811,-.312434363056611,Seleccionado,Menos de la media,uso intermedio
31,3,3.2,6,5.3,3.1,3,8,grande,43,3.3,especificacion,centralizada,tipo 1,nueva,2,2,1.16315080980568,1.66770682055808,1.09861228866811,.329029750867443,No seleccionado,Menos de la media,uso intermedio
32,2.8,3.8,8.9,6.9,3.3,3.2,8.2,pequeña,53,5,valor total,centralizada,tipo 1,recompra,2,2,1.33500106673234,1.93152141160321,1.16315080980568,-.0396115652625425,No seleccionado,Más de la media,mayoruso
33,5.2,2,9.3,5.9,3.7,2.4,4.6,pequeña,60,6.1,valor total,descentralizada,tipo 1,recompra,1,1,.693147180559945,1.77495235091167,.8754687373539,.82110721108927,No seleccionado,Más de la media,mayoruso
34,3.4,3.7,6.4,5.7,3.5,3.4,8.4,grande,47,3.8,especificacion,centralizada,tipo 1,nueva,2,2,1.30833281965018,1.7404661748405,1.22377543162212,.107341108727873,No seleccionado,Más de la media,uso intermedio
35,2.4,1,7.7,3.4,1.7,1.1,6.2,grande,35,4.1,especificacion,centralizada,tipo 1,nueva,1,1,0,1.22377543162212,.0953101798043249,.239376710575456,Seleccionado,Menos de la media,menor uso
36,1.8,3.3,7.5,4.5,2.5,2.4,7.6,grande,39,3.6,especificacion,centralizada,tipo 2,nueva,2,2,1.19392246847243,1.50407739677627,.8754687373539,-.510317479488285,Seleccionado,Menos de la media,menor uso
37,3.6,4,5.8,5.8,3.7,2.5,9.3,grande,44,4.8,especificacion,centralizada,tipo 2,recompra modificada,2,2,1.38629436111989,1.75785791755237,.916290731874155,-.180945383250201,Seleccionado,Menos de la media,uso intermedio
38,4,.9,9.1,5.4,2.4,2.6,7.3,pequeña,46,5.1,valor total,descentralizada,tipo 2,recompra,1,1,-.105360515657826,1.68639895357023,.955511445027436,-.0336866190783875,No seleccionado,Menos de la media,uso intermedio
39,0,2.1,6.9,5.4,1.1,2.6,8.9,grande,29,3.9,especificacion,centralizada,tipo 2,nueva,2,2,.741937344729377,1.68639895357023,.955511445027436,.0453470276619936,No seleccionado,Menos de la media,menor uso
40,2.4,2,6.4,4.5,2.1,2.2,8.8,grande,28,3.3,especificacion,centralizada,tipo 2,nueva,2,2,.693147180559945,1.50407739677627,.78845736036427,-1.43142741807658,Seleccionado,Menos de la media,menor uso
41,1.9,3.4,7.6,4.6,2.6,2.5,7.7,grande,40,3.7,especificacion,centralizada,tipo 2,nueva,2,2,1.22377543162212,1.52605630349505,.916290731874155,-.564752375638814,No seleccionado,Menos de la media,menor uso
42,5.9,.9,9.6,7.8,3.4,4.6,4.5,pequeña,58,6.7,valor total,descentralizada,tipo 2,recompra,1,1,-.105360515657826,2.05412373369555,1.52605630349505,-.0616048019519109,Seleccionado,Más de la media,mayoruso
43,4.9,2.3,9.3,4.5,3.6,1.3,6.2,pequeña,53,5.9,valor total,descentralizada,tipo 1,recompra,1,1,.832909122935104,1.50407739677627,.262364264467491,-.270932301949221,No seleccionado,Más de la media,mayoruso
44,5,1.3,8.6,4.7,3.1,2.5,3.7,pequeña,48,4.8,valor total,descentralizada,tipo 1,recompra modificada,1,1,.262364264467491,1.54756250871601,.916290731874155,-.379093456759825,Seleccionado,Más de la media,uso intermedio
45,2,2.6,6.5,3.7,2.4,1.7,8.5,grande,38,3.2,especificacion,centralizada,tipo 2,nueva,2,2,.955511445027436,1.30833281965018,.53062825106217,.43890931319977,Seleccionado,Menos de la media,menor uso
46,5,2.5,9.4,4.6,3.7,1.4,6.3,pequeña,54,6,valor total,descentralizada,tipo 1,recompra,1,1,.916290731874155,1.52605630349505,.336472236621213,-.327459421205139,Seleccionado,Más de la media,mayoruso
47,3.1,1.9,10,4.5,2.6,3.2,3.8,pequeña,55,4.9,valor total,descentralizada,tipo 2,recompra,1,1,.641853886172395,1.50407739677627,1.16315080980568,.803075010914005,No seleccionado,Más de la media,mayoruso
48,3.4,3.9,5.6,5.6,3.6,2.3,9.1,grande,43,4.7,especificacion,centralizada,tipo 2,recompra modificada,2,2,1.3609765531356,1.7227665977411,.832909122935104,-.0134973828173224,Seleccionado,Menos de la media,uso intermedio
49,5.8,.2,8.8,4.5,3,2.4,6.7,pequeña,57,4.9,valor total,descentralizada,tipo 2,recompra,1,1,-1.6094379124341,1.50407739677627,.8754687373539,1.7366533791023,Seleccionado,Más de la media,mayoruso
50,5.4,2.1,8,3,3.8,1.4,5.2,pequeña,53,3.8,valor total,descentralizada,tipo 2,recompra,1,1,.741937344729377,1.09861228866811,.336472236621213,.37037737189131,No seleccionado,Más de la media,mayoruso
51,3.7,.7,8.2,6,2.1,2.5,5.2,pequeña,41,5,valor total,descentralizada,tipo 1,recompra modificada,1,1,-.356674943938732,1.79175946922806,.916290731874155,.0734977352409373,Seleccionado,Menos de la media,menor uso
52,2.6,4.8,8.2,5,3.6,2.5,9,grande,53,5.2,especificacion,centralizada,tipo 2,recompra modificada,2,2,1.56861591791385,1.6094379124341,.916290731874155,.203296421759222,Seleccionado,Más de la media,mayoruso
53,4.5,4.1,6.3,5.9,4.3,3.4,8.8,grande,50,5.5,especificacion,centralizada,tipo 1,recompra modificada,2,2,1.41098697371026,1.77495235091167,1.22377543162212,-.540027313938156,No seleccionado,Más de la media,uso intermedio
54,2.8,2.4,6.7,4.9,2.5,2.6,9.2,grande,32,3.7,especificacion,centralizada,tipo 2,nueva,2,2,.8754687373539,1.58923520511658,.955511445027436,-1.5643078130372,Seleccionado,Menos de la media,menor uso
55,3.8,.8,8.7,2.9,1.6,2.1,5.6,pequeña,39,3.7,valor total,descentralizada,tipo 1,nueva,1,1,-.22314355131421,1.06471073699243,.741937344729377,.233746113454044,Seleccionado,Menos de la media,menor uso
56,2.9,2.6,7.7,7,2.8,3.6,7.7,pequeña,47,4.2,valor total,centralizada,tipo 2,recompra modificada,2,2,.955511445027436,1.94591014905531,1.28093384546206,.260863545571846,No seleccionado,Más de la media,uso intermedio
57,4.9,4.4,7.4,6.9,4.6,4,9.6,grande,62,6.2,especificacion,centralizada,tipo 1,recompra modificada,2,2,1.48160454092422,1.93152141160321,1.38629436111989,.678093758167367,No seleccionado,Más de la media,mayoruso
58,5.4,2.5,9.6,5.5,4,3,7.7,pequeña,65,6,valor total,descentralizada,tipo 1,recompra,1,1,.916290731874155,1.70474809223843,1.09861228866811,1.02601375784845,Seleccionado,Más de la media,mayoruso
59,4.3,1.8,7.6,5.4,3.1,2.5,4.4,pequeña,46,5.6,valor total,descentralizada,tipo 2,recompra,1,1,.587786664902119,1.68639895357023,.916290731874155,-.0637265639845056,No seleccionado,Menos de la media,uso intermedio
60,2.3,4.5,8,4.7,3.3,2.2,8.7,grande,50,5,especificacion,centralizada,tipo 2,recompra modificada,2,2,1.50407739677627,1.54756250871601,.78845736036427,.290857029045567,No seleccionado,Más de la media,uso intermedio
61,3.1,1.9,9.9,4.5,2.6,3.1,3.8,pequeña,54,4.8,valor total,descentralizada,tipo 2,recompra,1,1,.641853886172395,1.50407739677627,1.1314021114911,.679885623342279,No seleccionado,Más de la media,mayoruso
62,5.1,1.9,9.2,5.8,3.6,2.3,4.5,pequeña,60,6.1,valor total,descentralizada,tipo 1,recompra,1,1,.641853886172395,1.75785791755237,.832909122935104,1.10663481869523,Seleccionado,Más de la media,mayoruso
63,4.1,1.1,9.3,5.5,2.5,2.7,7.4,pequeña,47,5.3,valor total,descentralizada,tipo 2,recompra,1,1,.0953101798043249,1.70474809223843,.993251773010283,-.166803104538848,Seleccionado,Más de la media,uso intermedio
64,3,3.8,5.5,4.9,3.4,2.6,6,pequeña,36,4.2,valor total,centralizada,tipo 2,recompra modificada,2,2,1.33500106673234,1.58923520511658,.955511445027436,-1.30895687575578,Seleccionado,Menos de la media,menor uso
65,1.1,2,7.2,4.7,1.6,3.2,10,grande,40,3.4,especificacion,centralizada,tipo 2,nueva,2,2,.693147180559945,1.54756250871601,1.16315080980568,1.29397745040081,No seleccionado,Menos de la media,menor uso
66,3.7,1.4,9,4.5,2.6,2.3,6.8,pequeña,45,4.9,valor total,descentralizada,tipo 1,recompra modificada,1,1,.336472236621213,1.50407739677627,.832909122935104,-.439750321340669,No seleccionado,Menos de la media,uso intermedio
67,4.2,2.5,9.2,6.2,3.3,3.9,7.3,pequeña,59,6,valor total,descentralizada,tipo 1,recompra,1,1,.916290731874155,1.82454929205105,1.3609765531356,.893375097686243,No seleccionado,Más de la media,mayoruso
68,1.6,4.5,6.4,5.3,3,2.5,7.1,grande,46,4.5,especificacion,centralizada,tipo 1,recompra modificada,2,2,1.50407739677627,1.66770682055808,.916290731874155,1.04406995385823,No seleccionado,Menos de la media,uso intermedio
69,5.3,1.7,8.5,3.7,3.5,1.9,4.8,pequeña,58,4.3,valor total,descentralizada,tipo 1,recompra,1,1,.53062825106217,1.30833281965018,.641853886172395,1.4972678229284,No seleccionado,Más de la media,mayoruso
70,2.3,3.7,8.3,5.2,3,2.3,9.1,grande,49,4.8,especificacion,centralizada,tipo 2,recompra modificada,2,2,1.30833281965018,1.64865862558738,.832909122935104,.320879504489885,No seleccionado,Más de la media,uso intermedio
71,3.6,5.4,5.9,6.2,4.5,2.9,8.4,grande,50,5.4,especificacion,centralizada,tipo 2,recompra modificada,2,2,1.68639895357023,1.82454929205105,1.06471073699243,-.420529834829201,Seleccionado,Más de la media,uso intermedio
72,5.6,2.2,8.2,3.1,4,1.6,5.3,pequeña,55,3.9,valor total,descentralizada,tipo 2,recompra,1,1,.78845736036427,1.1314021114911,.470003629245736,.257409495536405,No seleccionado,Más de la media,mayoruso
73,3.6,2.2,9.9,4.8,2.9,1.9,4.9,pequeña,51,4.9,valor total,descentralizada,tipo 1,recompra,1,1,.78845736036427,1.56861591791385,.641853886172395,-.15767128410308,No seleccionado,Más de la media,mayoruso
74,5.2,1.3,9.1,4.5,3.3,2.7,7.3,pequeña,60,5.1,valor total,descentralizada,tipo 2,recompra,1,1,.262364264467491,1.50407739677627,.993251773010283,1.57487170649091,No seleccionado,Más de la media,mayoruso
75,3,2,6.6,6.6,2.4,2.7,8.2,grande,41,4.1,especificacion,centralizada,tipo 1,nueva,2,2,.693147180559945,1.88706964903238,.993251773010283,.726114194018533,Seleccionado,Menos de la media,menor uso
76,4.2,2.4,9.4,4.9,3.2,2.7,8.5,pequeña,49,5.2,valor total,descentralizada,tipo 2,recompra modificada,1,1,.8754687373539,1.58923520511658,.993251773010283,-1.01233843030231,Seleccionado,Más de la media,uso intermedio
77,3.8,.8,8.3,6.1,2.2,2.6,5.3,pequeña,42,5.1,valor total,descentralizada,tipo 1,recompra modificada,1,1,-.22314355131421,1.80828877117927,.955511445027436,.0182404963530438,Seleccionado,Menos de la media,uso intermedio
78,3.3,2.6,9.7,3.3,2.9,1.5,5.2,pequeña,47,5.1,valor total,descentralizada,tipo 2,recompra,1,1,.955511445027436,1.19392246847243,.405465108108164,-.803718966533095,Seleccionado,Más de la media,uso intermedio
79,1,1.9,7.1,4.5,1.5,3.1,9.9,grande,39,3.3,especificacion,centralizada,tipo 2,nueva,2,2,.641853886172395,1.50407739677627,1.1314021114911,1.35241914274072,No seleccionado,Menos de la media,menor uso
80,4.5,1.6,8.7,4.6,3.1,2.1,6.8,pequeña,56,5.1,valor total,descentralizada,tipo 1,recompra,1,1,.470003629245736,1.52605630349505,.741937344729377,1.50972041567914,No seleccionado,Más de la media,mayoruso
81,5.5,1.8,8.7,3.8,3.6,2.1,4.9,pequeña,59,4.5,valor total,descentralizada,tipo 1,recompra,1,1,.587786664902119,1.33500106673234,.741937344729377,1.33009975443612,No seleccionado,Más de la media,mayoruso
82,3.4,4.6,5.5,8.2,4,4.4,6.3,pequeña,47,5.6,valor total,centralizada,tipo 2,recompra modificada,2,2,1.52605630349505,2.10413415427021,1.48160454092422,-.41007459779401,Seleccionado,Más de la media,uso intermedio
83,1.6,2.8,6.1,6.4,2.3,3.8,8.2,grande,41,4.1,especificacion,centralizada,tipo 1,nueva,2,2,1.02961941718116,1.85629799036563,1.33500106673234,.953931021729795,Seleccionado,Menos de la media,menor uso
84,2.3,3.7,7.6,5,3,2.5,7.4,pequeña,37,4.4,valor total,centralizada,tipo 1,nueva,2,2,1.30833281965018,1.6094379124341,.916290731874155,-1.94878825369869,No seleccionado,Menos de la media,menor uso
85,2.6,3,8.5,6,2.8,2.8,6.8,grande,53,5.6,especificacion,centralizada,tipo 1,recompra modificada,2,2,1.09861228866811,1.79175946922806,1.02961941718116,1.27105591493423,No seleccionado,Más de la media,mayoruso
86,2.5,3.1,7,4.2,2.8,2.2,9,grande,43,3.7,especificacion,centralizada,tipo 2,nueva,2,2,1.1314021114911,1.43508452528932,.78845736036427,.333985072729507,Seleccionado,Menos de la media,uso intermedio
87,2.4,2.9,8.4,5.9,2.7,2.7,6.7,grande,51,5.5,especificacion,centralizada,tipo 1,recompra modificada,2,2,1.06471073699243,1.77495235091167,.993251773010283,1.09680776913222,Seleccionado,Más de la media,mayoruso
88,2.1,3.5,7.4,4.8,2.8,2.3,7.2,pequeña,36,4.3,valor total,centralizada,tipo 1,nueva,2,2,1.25276296849537,1.56861591791385,.832909122935104,-1.61206012495076,No seleccionado,Menos de la media,menor uso
